Bank Name,Main Branch Address,Link to Website,Link to Savings (Вклады),Phone / Email,Links to Social Media,Link to Loan Page,"Link to ""Get a Card"" Page"
National Bank of Uzbekistan (NBU),"101, Amir Temur Ave, Tashkent 5",nbu.uz,(https://nbu.uz/en/private/deposits/),#ERROR!,(https://t.me/nbu_official),Loans,Cards
Kapitalbank,"7, Sayilgoh Str., Tashkent 6",kapitalbank.uz,(https://kapitalbank.uz/en/private/deposits/),#ERROR!,(https://t.me/kapital24),Loans,Cards
Agrobank,"43, Mukimi Str., Tashkent 7",agrobank.uz,(https://agrobank.uz/uz/private/deposits),"1216

headoffice@agrobank.uz",(https://t.me/AgrobankChannel),Loans,Cards
Uzsanoatqurilishbank (SQB),"3, Shahrisabz Str., Tashkent 1",sqb.uz,(https://sqb.uz/en/private/deposits/),"1180

info@sqb.uz",(https://t.me/sqbuz),Loans,Cards
Asakabank,"67, Nukus Str., Tashkent 13",asakabank.uz,(https://asakabank.uz/en/private/deposits),"1152

contact@asakabank.uz",(https://t.me/asakabank_official),Loans,Cards
Ipoteka-bank,"30, Shahrisabz Str., Tashkent",ipotekabank.uz,(https://www.ipotekabank.uz/en/private/deposits/),"1233

info@ipotekabank.uz",(https://t.me/ipotekabankofficial),Loans,Cards
Xalq Banki (People's Bank),"46, Katoltol Str., Tashkent 9",xb.uz,(https://xb.uz/en/private/deposits),"1106

info@xb.uz",(https://t.me/xalqbankinfo),Loans,Cards
Business Development Bank (BRB),"18A, Navoi Str., Tashkent 22",brb.uz,(https://brb.uz/en/personal-banking/deposits),#ERROR!,(https://t.me/brb_uz),Loans,Cards
Hamkorbank,"85, Bobur Str., Andijan",hamkorbank.uz,(https://hamkorbank.uz/en/private/deposits/),"0 800 1 200 200

info@hamkorbank.uz",(https://t.me/Hamkorbankuz),Loans,Cards
Ipak Yuli Bank,"2, A. Qodiriy Str., Tashkent 13",ipakyulibank.uz,(https://en.ipakyulibank.uz/private/deposits),"1296

info@ipakyulibank.uz",(https://t.me/ipakyulibankuz),Loans,Cards
Tenge Bank,"66, Parkent Str., Tashkent 33",tengebank.uz,(https://tengebank.uz/en/deposits),"1245

info@tengebank.uz",Instagram,Loans,Cards
TBC Bank Uzbekistan,"10, Fidokor Str., Tashkent",tbcbank.uz,(https://tbcbank.uz/en/deposits),"1150

help@tbcbank.uz",(https://t.me/tbc_bank_uz),Loans,Cards
Anorbank,"4, Sairam Str., Tashkent",anorbank.uz,(https://anorbank.uz/en/private/deposits/),"1290

info@anorbank.uz",(https://t.me/anorbank),Loans,Cards
Octobank,"2, Furkat Str., Tashkent 3",octobank.uz,(https://octobank.uz/en/for-private-clients),#ERROR!,(https://t.me/Octobank_AJ),Loans,Cards
AVO Bank,"29A, Nukus Str., Tashkent 2",avo.uz,(https://avo.uz/ru/deposits),#ERROR!,(https://t.me/avobank_uz),Loans,Cards
Garant Bank,"78, Said Baraka Str., Tashkent 35",garantbank.uz,(https://garantbank.uz/en/private/deposits),"1326

info@garantbank.uz",(https://t.me/garant_bank_bot),Loans,Cards
Microcreditbank (MKB),"14, Lutfi Str., Tashkent 36",mkbank.uz,(https://mkbank.uz/en/private/deposits/),"1285

info@mikrokreditbank.uz",(https://t.me/mikrokreditbank_uz),Loans,Cards
Aloqabank,"4, Amir Temur Ave, Tashkent 6",aloqabank.uz,(https://aloqabank.uz/en/private/deposits/),"1130

info@aloqabank.uz",(https://t.me/aloqabank),Loans,Cards
Turonbank,"4A, Abay Str., Tashkent",turonbank.uz,(https://turonbank.uz/en/private/deposits/),"1220

info@turonbank.uz",(https://t.me/turonbankuz),Loans,Cards
Davr Bank,"Navoiy-Zarkaynar Str., Blk A, Tashkent 37",davrbank.uz,(https://davrbank.uz/en/private/deposits/),"1284

info@davrbank.uz",(https://t.me/davrbankuz),Loans,Cards
Poytaxt Bank,"55, Islam Karimov Str., Tashkent 28",poytaxtbank.uz,(https://poytaxtbank.uz/en/private/deposit/),#ERROR!,(https://t.me/bank_poytaxt),Loans,Cards
Ziraat Bank Uzbekistan,"15, Bunyodkor Str., Tashkent 32",ziraatbank.uz,(https://ziraatbank.uz/en/private/deposits),"1293

info@ziraatbank.uz",Instagram,Loans,Cards
KDB Bank Uzbekistan,"3, Bukharo Str., Tashkent 31",kdb.uz,(https://kdb.uz/en/individuals/deposit),#ERROR!,Facebook,Loans,Cards
Universal Bank,"Shokhrukhabad Str., Kokand 26",universalbank.uz,(https://universalbank.uz/en/individual/deposits),#ERROR!,(https://t.me/universalbankuz),Loans,Cards
Asia Alliance Bank,"2A, Makhtumquli Str., Tashkent 38",aab.uz,(https://aab.uz/en/private/deposits/),#ERROR!,(https://t.me/asiaalliancebank),Loans,Cards
Orient Finans Bank,"5, Osiyo Str., Tashkent",ofb.uz,(https://ofb.uz/en/private/deposits/),"1370

info@ofb.uz",(https://t.me/orientfinansbank),Loans,Cards
Trustbank,"7, Navoi Str., Tashkent 15",trustbank.uz,(https://trustbank.uz/en/private/deposits/),"1287

info@trustbank.uz",(https://t.me/trustbankuz),Loans,Cards
Smart Bank,"2A, Almazor Str., Tashkent 19",smartbank.uz,(https://smartbank.uz),"1377

office@smartbank.uz",N/A,Loans,Cards
Hayot Bank,"40, Osiyo Str., Tashkent 39",hayotbank.uz,(https://hayotbank.uz),"1320

info@hayotbank.uz",N/A,Loans,Cards
Yangi Bank,"99, Amir Temur Str., Tashkent 40",yangibank.uz,(https://yangibank.uz),#ERROR!,N/A,Loans,Cards
Apex Bank,"77, Sadik Azimov Str., Tashkent 41",apexbank.uz,(https://apexbank.uz/en/private/deposits/),"1881

info@apexbank.uz",(https://t.me/apexbankuz),Loans,Cards
Madad Invest Bank,Tashkent (Various branches),madadinvestbank.uz,(https://madadinvestbank.uz/deposits),#ERROR!,(https://t.me/madadinvestbank),Loans,Cards
Bank Saderat Tashkent,"10, Fidokor Str., Tashkent 15",saderatbank.uz,N/A (Corporate),#ERROR!,N/A,N/A,N/A
